source,target,weight
175,316,0.15102196843114854
176,254,0.2810971492505099
176,81,0.1603359858447397
176,285,0.14789158703773533
176,140,0.14579820690950265
176,104,0.138429144532424
177,1,0.25887217542854346
177,202,0.23966771991679064
177,14,0.23446399538390345
177,111,0.22769870039823423
177,374,0.22424370945426325
178,304,0.11732040694368717
178,19,0.1105655857167293
178,165,0.10904224023492733
178,130,0.10243833095548607
178,124,0.0988917977632639
179,429,0.4271687878418792
179,194,0.3772544215230934
179,317,0.36847197102548557
179,351,0.344812388894925
179,450,0.34431587768717914
180,64,0.27376903180796514
180,348,0.2527113806035861
180,425,0.2503114412527709
180,342,0.2365363797181058
180,97,0.23628631501375955
181,451,0.3453882598239383
181,128,0.34129230270766403
181,107,0.2871335764063498
181,279,0.27325349746657823
181,304,0.2663664765756591
182,1,0.4166996757139494
182,3,0.39885001527617825
182,242,0.39682992664132205
182,14,0.3937286137806715
182,16,0.39181832193869964
183,425,0.5065962103997453
183,294,0.49227423668286446
183,342,0.4570155127199491
183,348,0.4394361922849117
183,64,0.4019889968332988
184,1,0.491254295751548
184,111,0.4496727348321993
184,371,0.44216813536215566
184,52,0.4332923495294534
184,441,0.4282593114043773
185,1,0.4069863114959026
185,111,0.4003242118930683
185,374,0.38215029956913465
185,97,0.3807847193090201
185,242,0.36634831286420255
186,1,0.3949700989132838
186,399,0.3939490043043397
186,67,0.3515571254025803
186,212,0.3473789576189213
186,111,0.3473761482345509
187,451,0.26932623855069515
187,130,0.26495278278471246
187,128,0.25802517788087304
187,304,0.23928087423532118
187,109,0.2261398353142875
188,107,0.17741731392430504
188,140,0.17714676398864132
188,109,0.16587663936928973
188,328,0.15426899118203874
188,285,0.15376742851963207
189,128,0.2392272209820463
189,419,0.19762807963928752
189,154,0.19450715988943007
189,233,0.18760389418700932
189,129,0.18273275628302135
190,128,0.31388854844987896
190,379,0.29208440913520795
190,130,0.24614632489733107
190,451,0.24268656427255048
190,181,0.2289403828019676
191,233,0.45117066325223965
191,419,0.44545186487144617
191,146,0.4177745026083806
191,171,0.3960268653685923
191,156,0.25744816840659696
192,186,0.3001369401951574
192,400,0.27514762026545864
192,273,0.2672115325084313
192,274,0.24295081501314383
192,91,0.18354689465071483
193,146,0.36207322795014285
193,171,0.32873256155170655
193,419,0.30234208367763554
193,233,0.3018712218631148
193,191,0.254023715615764
194,409,0.6020230590307857
194,429,0.5671923137749075
194,467,0.4782005718982491
194,450,0.47646846977634033
194,36,0.4757095016506909
195,324,0.1357670392218609
195,475,0.11856202304937939
195,83,0.10018096760804997
195,82,0.09382837221917856
195,413,0.08852008928808756
196,1,0.644096953873481
196,374,0.5963635029470506
196,52,0.5922095425187005
196,441,0.5802057465884681
196,16,0.5652355396956812
197,1,0.4263015452147682
197,441,0.4108224196229251
197,52,0.3951790943825529
197,111,0.391836214401698
197,14,0.3792244508554122
198,3,0.29957325300736976
198,12,0.29772332363276677
198,14,0.29326306571343336
198,1,0.2860727378597232
198,374,0.2849274832825436
199,233,0.15744014089519237
199,451,0.14934721550018007
199,419,0.14017144329537912
199,130,0.13538875455056157
199,153,0.1334707005828601
200,186,0.19985183580833418
200,67,0.1936124246965591
200,455,0.18570518502467676
200,134,0.15612894547986542
200,444,0.14798833100265063
201,130,0.20011749762569128
201,451,0.19701036500157548
201,128,0.17486266407113685
201,304,0.16672966971914882
201,356,0.16518974958059332
202,374,0.6896799031484798
202,1,0.6840072624347285
202,52,0.6253994175625261
202,111,0.6216150236621337
202,371,0.6086256861365453
203,1,0.364983712250375
203,111,0.34290565300922465
203,3,0.335375205357928
203,16,0.3312591927099413
203,14,0.3277784371570243
204,1,0.47002541727304337
204,374,0.45529291544468115
204,16,0.44048401012639593
204,111,0.4343215783988241
204,3,0.4262089565694384
205,208,0.13233665010887224
205,169,0.11972054642884238
205,166,0.1143083505882299
205,451,0.1114088128961565
205,413,0.10480586021509583
206,374,0.5425234206560052
206,1,0.5320005698712859
206,52,0.5256611102058298
206,371,0.5069253607415747
206,441,0.4916504026402305
207,1,0.5800496962666117
207,374,0.568201350551711
207,441,0.5391069318418973
207,52,0.5339289856716259
207,384,0.5210003891532546
208,279,0.21554675247443209
208,451,0.2066783261791389
208,166,0.20637793746963798
208,130,0.19424729308019745
208,328,0.1849295472485309
209,21,0.1471960841089376
209,168,0.13484454313135374
209,152,0.13305138679215567
209,225,0.1294421916623085
209,414,0.12536730717548733
210,451,0.2992555055441657
